source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Benamar Bouchentouf,,"Omorodion Lawrence i doo know what is true believe me sir ^_^  Anabela Deep In the Holy Quraan there is a verse that says: ""There is no compulsion in religion"" that mean any one is free to choose his religion, but we have to use our mind how can a God be crucified and tortured without defending himself or rather how a son can be tortured and crucified without being defended by his father ?? And if you claim that Jesus is crucified and tortured for us and for our sins this is not fair. I will not want to enter Paradise with me a terrorist nor a thief nor a cheat or a rapist.. My religion is Islam based on justice, and whoever does righteous deeds will be rewarded with heaven and he who does evil will punish the helle.",,,,,,,,,
Anabela Deep,,Benamar Bouchentouf it's your way of thinking 😊everyone has the right to choose you have your religion and i have mine 👌✌and where is love can't have violence and hate 💖,,,,,,,,,
Anabela Deep,,It's all about love so don't spread hate it's already too much problems in this world ✌✌💖💖we are all humans ☺,,,,,,,,,
Given Mponela,,Allah is fake bro no good messeage is spread throuh war,,,,,,,,,
Mîđøu VeteřānØs MerenĞuę,,M9awdin hadou ma tdirch 3lihom M3a tali tbanelhom z3a9a hhh,,,,,,,,,
Benamar Bouchentouf,, lay3awenhom,,,,,,,,,
Oussama Ben Abdallah,,Alexandra Martins  Santa is a Coca-Cola invention,,,,,,,,,
Victor Ofili,,"You are such a fool, you come into a Christian page to talk about your stupid religion",,,,,,,,,
Marlon B. Heinze,,Será que ele lê os comentários? Kkkkkkkkkkkkkkkkkkkkkkkkkkkkk Feliz natal Robozão para você e toda sua família,,,,,,,,,
عہبہسہكہهہہ كہآرفہخہآلﮯ,,Marlon B. Heinze شكرا لك,,,,,,,,,
Oliveirå da Sïlva,,As vezes lê sim,,,,,,,,,
Marlon B. Heinze,,Será mano ?,,,,,,,,,
Oliveirå da Sïlva,,Houve uma vez que deu Like no meu comentário,,,,,,,,,
Marlon B. Heinze,,Oliveirå da Sïlva meu sonho kkkkk,,,,,,,,,
Kim Choi Choy,,I love Ronaldo,,,,,,,,,
Oliveirå da Sïlva,,Esse dia vai chegar continuar estar sempre ligado nesta página mano,,,,,,,,,
Khoa Hoang,,Marlon B. Heinze,,,,,,,,,
Ha Hao,,,,,,,,,,,
Jitul Kalita,,Messi is better than Ronaldo...,,,,,,,,,
,,,,,,,,,,,
Jitul Kalita,,CR barca hoi laga nai... Just mon goise dsu.. Moi nije football saw.. Tate u hv to ryt to give a status nd mentioning my name... Odhikar kune dil tok?,,,,,,,,,
Bikash Thakuria,, iman information ulai loli a mor 😂😂... Apunar kotha huni mor hahi uthe 😂😂😂🤣🤣🤣....ru hosa kotha koisu vai beya palio upai nai😀.... Ru kun kar frnd he2 matter nokore mor karone... Hosa kotha hosai hodai 😁,,,,,,,,,
Jitul Kalita,, who gives u a permission to uploading a status with mentioning my name?,,,,,,,,,
Bikash Thakuria,, odhikar kio lage.... Ty jode insult diba para emn enek beleg ok... Tk mention korar karone odikar laga niki... Ty nije proof krsa agote ty keneka 😅😅😂😂😂...,,,,,,,,,
Jitul Kalita,, gom paisu de toi kne manhu... বাটৰ কুকুৰ মাটি ফুৰা স্বভাৱ মোৰ এনেও নাই।। ধন্যবাদ নহলে পোষ্টটো দিয়া বাবে।।। উন্নতি কৰা জীৱনত,,,,,,,,,
Bikash Thakuria,, me2 brother👦. Moio eneka nonsense manuhr logot kom k kotha  patu.... Tr logot a g olp darek patilu 😂😂😂... Ro jibilak manuh a football Or F Tu sini napai tar logot football Or kotha discuss nokoru a moi.. Goodbye brother i hope in future enekuwa situation nohoi jate r... And most well come.,,,,,,,,,
Rath Sophea,,Jitul Kalita this is Ronaldo Page u stupid😑,,,,,,,,,
Samad Olatunji Jimoh,,Rashford is better than Messi....,,,,,,,,,
Anabela Deep,,Jitul Kalita at least in Christmas time let Ronaldo in peace 😯,,,,,,,,,
Guilherme Filipe,,Feliz Natal tio! Estamos juntos na passagem de ano. Forte abraço ❤️,,,,,,,,,
Eduarda Simoes Simoes,, 🤔,,,,,,,,,
Jiji Bahraoui,,Guilherme Filipe 🙄,,,,,,,,,
Irfan Ullah Nangyal,,Who is the best player Right now❓💪  Ronaldo🇵🇹=Love ♥  Messi🇦🇷=Wow 😯 Salah🇪🇬=Like 👍 Neymar🇧🇷=sad 😥 Hazard🇧🇪=Haha 😆,,,,,,,,,
Yad Muhamad,,Irfan Ullah Nangyal copy paste,,,,,,,,,
Islam Mohamed,,مكفاية بضان يولاد كوم المنايك بقي,,,,,,,,,
Saad Aarab,,Matuidi,,,,,,,,,
Tayeb Adeeb,,عرفان لالا خوب فعال استی,,,,,,,,,
Irfan Ullah Nangyal,, هااهااهااهاا زنده بـــــــــاشـــی!❤,,,,,,,,,
Fatima Araujo,,"Um Santo e Feliz Natal a você , todos seus filhos e a toda sua família!",,,,,,,,,
Max Simoes,,"Todos sérios, mas sempre tem aquele figurinha que vai fazer uma zoeira na hora da foto 😄",,,,,,,,,
Mini Segurola,,"Felicidades,bendiciones",,,,,,,,,
