source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Polpo di Stato,,2019-04-28 19:48:12,Non ci crede...He doesn't believe it,260,219,20,19,,1,1,1,277358046550664,/story.php?story_fbid=277358046550664&id=237264647226671
Polpo di Stato,,2019-04-27 22:25:23,SKRRRTT,6,5,,,,1,,,276832933269842,/story.php?story_fbid=276832933269842&id=237264647226671
Polpo di Stato,,2019-04-27 14:14:22,Liberale di merda,24,22,1,1,,,,1,276564829963319,/story.php?story_fbid=276564829963319&id=237264647226671
Polpo di Stato,,2019-04-27 11:24:15,Questa sera si mangia borghese fritto,113,83,6,24,,,,2,276541603298975,/story.php?story_fbid=276541603298975&id=237264647226671
Polpo di Stato,,2019-04-27 01:39:21,"No sorello,  il m e m e  è un s o g n o  e i sogni aiutano a memare meglio",16,16,,,,,,1,276334093319726,/story.php?story_fbid=276334093319726&id=237264647226671
"Polpo di Stato,e",e,2019-04-26 12:21:56,"2030 Le armate brigate memetiche sono braccate dal software impazzito di Zucc che nel frattempo è completamente transitato verso una terribile forma robotica che cerca di censurare ogni contenuto non autorizzato e che è la faccia di un nuovo impero globale totalmente informatizzato. Facebook, Google, Apple, Microsoft e i colossi del digitale hanno annullato la democrazia liberale da anni con la scusa della lotta al sovranismo, hanno destituito ogni governo politico del mondo occidentale e hanno sostituito i loro leader con fantasmini gommosi pienamente automatizzati che rispondono ad un algoritmo di governo apparentemente perfetto. Sciovinisti e rossobrutti si sono arresi al capitale in cambio del potere e sono stati trasformati nel braccio armato della nuova era teknofascista. Nel frattempo i memers più arditi hanno trasferito le loro menti in un server nascosto in una località segreta nello spazio profondo, dopo aver scoperto un wormhole funzionante. Stanno cercando di dare vita al Polpo di Stato, un bot potentissimo a forma di polpo caricato a bestemmie. Le armate reazionarie sono tranquille e sicure della loro forza, ma qualcosa si muove nel sottosuolo....  TO BE CONTINUED...",15,13,,1,1,,,,276178783335257,/story.php?story_fbid=276178783335257&id=237264647226671
Polpo di Stato,,2019-04-26 18:00:05,Memone normalone normalone,144,119,5,19,1,,,4,276157130004089,/story.php?story_fbid=276157130004089&id=237264647226671
Polpo di Stato,,2019-04-26 11:50:47,WOKE,114,79,24,7,4,,,6,275970656689403,/story.php?story_fbid=275970656689403&id=237264647226671
"Polpo di Stato,Escape PODstaggio",Escape PODstaggio,2019-04-26 09:42:43,Sarà un viaggio frizzantissimoMISS ME?! SKRR SKRRRRRRR,31,21,1,9,,,,1,275936470026155,/story.php?story_fbid=275936470026155&id=237264647226671
Polpo di Stato,,2019-04-25 19:51:45,repost,18,17,,1,,,,,275637476722721,/story.php?story_fbid=275637476722721&id=237264647226671
Polpo di Stato,,2019-04-25 15:16:53,Di' «belle ciao» alle tue palle fasciste,76,62,2,12,,,,2,275488856737583,/story.php?story_fbid=275488856737583&id=237264647226671
Polpo di Stato,,2019-04-25 13:35:01,more easy,125,100,8,17,,,,,275074843445651,/story.php?story_fbid=275074843445651&id=237264647226671
Polpo di Stato,,2019-04-25 11:28:19,ENDGAME FASCI DI MERDA,745,563,14,167,,,1,18,275402986746170,/story.php?story_fbid=275402986746170&id=237264647226671
Polpo di Stato,,2019-04-25 09:17:00,Ora e sempre cyber-resistenza!,76,64,1,11,,,,,275025430117259,/story.php?story_fbid=275025430117259&id=237264647226671
Polpo di Stato,,2019-04-24 22:16:42,Il Melanzagno,56,48,3,4,1,,,1,275105523442583,/story.php?story_fbid=275105523442583&id=237264647226671
Polpo di Stato,,2019-04-24 20:16:18,AMIAMOCI PORCO DIO,283,206,19,58,,,,13,275076746778794,/story.php?story_fbid=275076746778794&id=237264647226671
Polpo di Stato,,2019-04-24 17:18:02,,37,26,4,7,,,,,274903736796095,/story.php?story_fbid=274903736796095&id=237264647226671
Polpo di Stato,,2019-04-24 14:03:30,Cronache marxiane,69,59,,10,,,,,274857540134048,/story.php?story_fbid=274857540134048&id=237264647226671
Polpo di Stato,,2019-04-24 11:47:52,Collega: Tu:Colleague: You:,266,224,6,36,,,,9,274853106801158,/story.php?story_fbid=274853106801158&id=237264647226671
Polpo di Stato,,2019-04-24 09:00:34,Un fantasma si aggira nel guscio della società in cui viviamo,87,60,,27,,,,4,274573873495748,/story.php?story_fbid=274573873495748&id=237264647226671
Polpo di Stato,,2019-04-24 06:33:27,,30,26,1,3,,,,,274748680144934,/story.php?story_fbid=274748680144934&id=237264647226671
Polpo di Stato,,2019-04-23 02:58:14,N.O.N. R.U.B.E.R.E.S.T.I. M.A.I. caz zo dici? Io  e s p r o p r i o. #fuoriorariocaccapost,21,20,,1,,,,1,274114976874971,/story.php?story_fbid=274114976874971&id=237264647226671
Polpo di Stato,,2019-04-22 13:08:55,ＤＲｉｉｉｎ　Ｄｒｉｉｎ ｏｇｇｉ　ｓｉｅｔｅ　ａｐｅｒｔｉ？ ｓｉ　ｓｉｇｎｏｒａ，　ｐｅ　ｍａｇｎａｓｓｅ　ｕｎ　ｂｏｒｇｈｅｓｅ　ｉｎ　ｕｍｉｄｏ　ｎｏｎ　ｃｉ　ｓｏｎｏ　ｇｉｏｒｎｉ　ｏｆｆ,87,75,3,9,,,,1,273751413577994,/story.php?story_fbid=273751413577994&id=237264647226671
Polpo di Stato,,2019-04-22 11:00:01,abbazinga we,63,54,2,7,,,,3,273648893588246,/story.php?story_fbid=273648893588246&id=237264647226671
Polpo di Stato,,2019-04-22 01:32:58,`°D o n n a * s   E G G °`,18,16,,2,,,,,273498473603288,/story.php?story_fbid=273498473603288&id=237264647226671
Polpo di Stato,,2019-04-21 10:29:38,,65,49,3,13,,,,,273125290307273,/story.php?story_fbid=273125290307273&id=237264647226671
